Date,016450.KS Forecasted,004870.KS Forecasted,095720.KS Forecasted,006490.KS Forecasted,068290.KS Forecasted,008730.KS Forecasted,170900.KS Forecasted,003160.KS Forecasted,016880.KS Forecasted,010690.KS Forecasted,378850.KS Forecasted,007280.KS Forecasted,000520.KS Forecasted,020120.KS Forecasted,002880.KS Forecasted,006740.KS Forecasted,028100.KS Forecasted
2024-10-11,4650.906,710.8587,1769.3247,1313.1514,14786.648,27336.43,70087.61,16509.42,935.4071,8441.028,3707.3984,1515.3713,12686.445,3900.4778,1138.978,1310.9385,13379.903
2024-10-14,4633.372,702.99316,1767.1058,1295.899,14778.088,27126.154,69557.6,16310.516,934.35986,8387.621,3693.9292,1511.8754,12510.229,3897.5146,1146.0043,1310.1652,13411.127
2024-10-15,4620.913,696.32227,1767.5723,1279.5427,14792.4375,26981.176,69127.28,16189.68,935.56104,8372.314,3690.187,1509.965,12332.953,3894.5698,1150.9628,1311.1262,13426.526
2024-10-16,4612.1226,690.6858,1769.7062,1264.1306,14822.721,26883.34,68775.83,16133.4795,938.26324,8382.464,3693.547,1509.1387,12158.153,3891.813,1154.3403,1313.4265,13431.486
2024-10-17,4605.98,685.89325,1772.8651,1249.6624,14863.271,26819.578,68485.43,16126.894,941.9326,8409.046,3701.9893,1509.0394,11988.136,3889.3052,1156.5588,1316.7516,13429.678
2024-10-18,4601.7397,681.76025,1776.6376,1236.1112,14909.835,26780.402,68241.86,16156.021,946.19196,8445.8125,3713.9548,1509.4183,11824.323,3887.0486,1157.9551,1320.8458,13423.603
2024-10-21,4598.86,678.1278,1780.7568,1223.4359,14959.403,26758.893,68034.19,16209.331,950.7777,8488.544,3728.2522,1510.1053,11667.547,3885.02,1158.7827,1325.4995,13414.941
2024-10-22,4596.9517,674.8675,1785.0477,1211.5903,15009.956,26749.984,67854.336,16277.892,955.5086,8534.444,3743.9797,1510.9863,11518.21,3883.1868,1159.2262,1330.5408,13404.808
2024-10-23,4595.735,671.8797,1789.3949,1200.5261,15060.2,26749.994,67696.375,16355.173,960.2623,8581.703,3760.4692,1511.9856,11376.444,3881.515,1159.4158,1335.83,13393.925
2024-10-24,4595.009,669.08997,1793.722,1190.1958,15109.357,26756.238,67556.055,16436.582,964.95844,8629.165,3777.2317,1513.054,11242.195,3879.9753,1159.4407,1341.2552,13382.761
2024-10-25,4594.6304,666.4438,1797.9801,1180.5538,15156.988,26766.77,67430.305,16519.045,969.54584,8676.109,3793.9204,1514.1587,11115.292,3878.544,1159.3611,1346.7292,13371.604
2024-10-28,4594.497,663.90247,1802.1364,1171.5571,15202.878,26780.207,67316.91,16600.564,973.99335,8722.096,3810.2935,1515.2794,10995.493,3877.2004,1159.2168,1352.1842,13360.633
2024-10-29,4594.5356,661.43854,1806.1716,1163.1653,15246.941,26795.547,67214.22,16679.936,978.28345,8766.86,3826.1877,1516.4027,10882.51,3875.9307,1159.0337,1357.5702,13349.958
2024-10-30,4594.6924,659.0338,1810.0742,1155.3401,15289.179,26812.094,67121.0,16756.455,982.4078,8810.257,3841.497,1517.5201,10776.038,3874.724,1158.8285,1362.8506,13339.638
2024-10-31,4594.929,656.67554,1813.8387,1148.046,15329.628,26829.332,67036.266,16829.77,986.36395,8852.206,3856.1558,1518.6261,10675.76,3873.572,1158.6118,1368.0005,13329.703
2024-11-01,4595.219,654.35596,1817.4633,1141.2491,15368.355,26846.914,66959.22,16899.729,990.1531,8892.678,3870.1267,1519.717,10581.354,3872.4683,1158.3903,1373.0037,13320.168
2024-11-04,4595.5415,652.06995,1820.9485,1134.9182,15405.429,26864.568,66889.17,16966.312,993.77893,8931.664,3883.392,1520.7908,10492.511,3871.4092,1158.1682,1377.8507,13311.034
2024-11-05,4595.881,649.8143,1824.297,1129.0234,15440.921,26882.125,66825.54,17029.576,997.2462,8969.18,3895.9482,1521.8458,10408.924,3870.3914,1157.9485,1382.5366,13302.297
2024-11-06,4596.2275,647.58716,1827.5121,1123.5365,15474.903,26899.432,66767.78,17089.613,1000.5608,9005.247,3907.8005,1522.8811,10330.3,3869.4116,1157.7323,1387.0612,13293.946
2024-11-07,4596.5728,645.3878,1830.5983,1118.431,15507.442,26916.396,66715.414,17146.541,1003.72845,9039.897,3918.96,1523.8964,10256.356,3868.4692,1157.5212,1391.4258,13285.973
2024-11-08,4596.912,643.21564,1833.5598,1113.6815,15538.601,26932.969,66668.0,17200.475,1006.7551,9073.166,3929.4429,1524.8909,10186.825,3867.5615,1157.3157,1395.634,13278.364
2024-11-11,4597.2407,641.07043,1836.4016,1109.2656,15568.439,26949.092,66625.11,17251.547,1009.64685,9105.091,3939.268,1525.8649,10121.449,3866.6877,1157.1162,1399.6903,13271.105
2024-11-12,4597.5566,638.9527,1839.128,1105.1606,15597.013,26964.734,66586.39,17299.877,1012.4092,9135.715,3948.4563,1526.8179,10059.983,3865.8467,1156.9231,1403.5991,13264.186
2024-11-13,4597.8584,636.86163,1841.7439,1101.3458,15624.376,26979.857,66551.45,17345.59,1015.0479,9165.078,3957.0308,1527.7505,10002.199,3865.0366,1156.7365,1407.366,13257.59
2024-11-14,4598.145,634.79785,1844.2538,1097.8014,15650.576,26994.45,66519.99,17388.799,1017.5683,9193.222,3965.0142,1528.6625,9947.878,3864.257,1156.5565,1410.9974,13251.306
2024-11-15,4598.416,632.7611,1846.6616,1094.509,15675.664,27008.52,66491.7,17429.625,1019.9755,9220.191,3972.4324,1529.5542,9896.814,3863.507,1156.3832,1414.4967,13245.319
2024-11-18,4598.6714,630.7515,1848.9719,1091.451,15699.686,27022.043,66466.29,17468.18,1022.2744,9246.025,3979.3098,1530.4259,9848.813,3862.7852,1156.2164,1417.87,13239.62
2024-11-19,4598.9116,628.7691,1851.1886,1088.6119,15722.684,27035.035,66443.51,17504.57,1024.47,9270.769,3985.6726,1531.278,9803.691,3862.0906,1156.0564,1421.1222,13234.193
